時間軸コード,西暦（暦年）,和暦（暦年）,地域コード,地域,性別,項目,数値,単位
1990000202,1990年,平成2年,26000,京都府,全体,農家人口,220324 ,人
1990000202,1990年,平成2年,26000,京都府,男,農家人口,106265 ,人
1990000202,1990年,平成2年,26000,京都府,女,農家人口,114059 ,人
1990000202,1990年,平成2年,26000,京都府,全体,16歳以上総数,181741 ,人
1990000202,1990年,平成2年,26000,京都府,全体,自営農業だけに従事,63099 ,人
1990000202,1990年,平成2年,26000,京都府,全体,自営農業を主にその他の仕事に従事,5131 ,人
1990000202,1990年,平成2年,26000,京都府,全体,その他の仕事を主に自営農業に従事,65138 ,人
1990000202,1990年,平成2年,26000,京都府,全体,その他の仕事だけに従事,16883 ,人
1990000202,1990年,平成2年,26000,京都府,全体,仕事に従事しなかった,31490 ,人
1990000202,1990年,平成2年,26000,京都府,全体,農業就業人口,68230 ,人
1990000202,1990年,平成2年,26100,京都市,全体,農家人口,24727 ,人
1990000202,1990年,平成2年,26100,京都市,男,農家人口,11934 ,人
1990000202,1990年,平成2年,26100,京都市,女,農家人口,12793 ,人
1990000202,1990年,平成2年,26100,京都市,全体,16歳以上総数,20601 ,人
1990000202,1990年,平成2年,26100,京都市,全体,自営農業だけに従事,8274 ,人
1990000202,1990年,平成2年,26100,京都市,全体,自営農業を主にその他の仕事に従事,603 ,人
1990000202,1990年,平成2年,26100,京都市,全体,その他の仕事を主に自営農業に従事,5021 ,人
1990000202,1990年,平成2年,26100,京都市,全体,その他の仕事だけに従事,1884 ,人
1990000202,1990年,平成2年,26100,京都市,全体,仕事に従事しなかった,4819 ,人
1990000202,1990年,平成2年,26100,京都市,全体,農業就業人口,8877 ,人
1990000202,1990年,平成2年,26101,京都市北区,全体,農家人口,2139 ,人
1990000202,1990年,平成2年,26101,京都市北区,男,農家人口,1019 ,人
1990000202,1990年,平成2年,26101,京都市北区,女,農家人口,1120 ,人
1990000202,1990年,平成2年,26101,京都市北区,全体,16歳以上総数,1764 ,人
1990000202,1990年,平成2年,26101,京都市北区,全体,自営農業だけに従事,886 ,人
1990000202,1990年,平成2年,26101,京都市北区,全体,自営農業を主にその他の仕事に従事,29 ,人
1990000202,1990年,平成2年,26101,京都市北区,全体,その他の仕事を主に自営農業に従事,434 ,人
1990000202,1990年,平成2年,26101,京都市北区,全体,その他の仕事だけに従事,104 ,人
1990000202,1990年,平成2年,26101,京都市北区,全体,仕事に従事しなかった,311 ,人
1990000202,1990年,平成2年,26101,京都市北区,全体,農業就業人口,915 ,人
1990000202,1990年,平成2年,26102,京都市上京区,全体,農家人口,48 ,人
1990000202,1990年,平成2年,26102,京都市上京区,男,農家人口,20 ,人
1990000202,1990年,平成2年,26102,京都市上京区,女,農家人口,28 ,人
1990000202,1990年,平成2年,26102,京都市上京区,全体,16歳以上総数,42 ,人
1990000202,1990年,平成2年,26102,京都市上京区,全体,自営農業だけに従事,15 ,人
1990000202,1990年,平成2年,26102,京都市上京区,全体,自営農業を主にその他の仕事に従事,2 ,人
