_id,時間軸コード,西暦（暦年）,和暦（暦年）,地域コード,地域,項目,数値,単位
1,1987000000,1987年,昭和62年,26000,京都府,農業粗生産額,79124,百万円
2,1987000000,1987年,昭和62年,26000,京都府,耕種計,62519,百万円
3,1987000000,1987年,昭和62年,26000,京都府,米,32128,百万円
4,1987000000,1987年,昭和62年,26000,京都府,麦類,293,百万円
5,1987000000,1987年,昭和62年,26000,京都府,雑穀・豆類,1418,百万円
6,1987000000,1987年,昭和62年,26000,京都府,いも類,836,百万円
7,1987000000,1987年,昭和62年,26000,京都府,野菜,18439,百万円
8,1987000000,1987年,昭和62年,26000,京都府,果実,1753,百万円
9,1987000000,1987年,昭和62年,26000,京都府,花き,1706,百万円
10,1987000000,1987年,昭和62年,26000,京都府,工芸農作物,4196,百万円
11,1987000000,1987年,昭和62年,26000,京都府,種苗･苗木その他,1750,百万円
12,1987000000,1987年,昭和62年,26000,京都府,養蚕,110,百万円
13,1987000000,1987年,昭和62年,26000,京都府,畜産計,14359,百万円
14,1987000000,1987年,昭和62年,26000,京都府,肉用牛,1771,百万円
15,1987000000,1987年,昭和62年,26000,京都府,乳用牛,5269,百万円
16,1987000000,1987年,昭和62年,26000,京都府,豚,2329,百万円
17,1987000000,1987年,昭和62年,26000,京都府,鶏,4808,百万円
18,1987000000,1987年,昭和62年,26000,京都府,その他畜産物,182,百万円
19,1987000000,1987年,昭和62年,26000,京都府,加工農産物,2136,百万円
20,1987000000,1987年,昭和62年,26000,京都府,生産農業所得,30172,百万円
21,1988000000,1988年,昭和63年,26000,京都府,農業粗生産額,80365,百万円
22,1988000000,1988年,昭和63年,26000,京都府,耕種計,63571,百万円
23,1988000000,1988年,昭和63年,26000,京都府,米,30679,百万円
24,1988000000,1988年,昭和63年,26000,京都府,麦類,275,百万円
25,1988000000,1988年,昭和63年,26000,京都府,雑穀・豆類,1257,百万円
26,1988000000,1988年,昭和63年,26000,京都府,いも類,826,百万円
27,1988000000,1988年,昭和63年,26000,京都府,野菜,20972,百万円
28,1988000000,1988年,昭和63年,26000,京都府,果実,1682,百万円
29,1988000000,1988年,昭和63年,26000,京都府,花き,2038,百万円
30,1988000000,1988年,昭和63年,26000,京都府,工芸農作物,4313,百万円
31,1988000000,1988年,昭和63年,26000,京都府,種苗･苗木その他,1568,百万円
32,1988000000,1988年,昭和63年,26000,京都府,養蚕,129,百万円
33,1988000000,1988年,昭和63年,26000,京都府,畜産計,14431,百万円
34,1988000000,1988年,昭和63年,26000,京都府,肉用牛,2025,百万円
35,1988000000,1988年,昭和63年,26000,京都府,乳用牛,5193,百万円
36,1988000000,1988年,昭和63年,26000,京都府,豚,2440,百万円
37,1988000000,1988年,昭和63年,26000,京都府,鶏,4682,百万円
38,1988000000,1988年,昭和63年,26000,京都府,その他畜産物,91,百万円
39,1988000000,1988年,昭和63年,26000,京都府,加工農産物,2219,百万円
40,1988000000,1988年,昭和63年,26000,京都府,生産農業所得,34039,百万円
41,1989000000,1989年,平成元年,26000,京都府,農業粗生産額,77339,百万円
42,1989000000,1989年,平成元年,26000,京都府,耕種計,60283,百万円
43,1989000000,1989年,平成元年,26000,京都府,米,27975,百万円
44,1989000000,1989年,平成元年,26000,京都府,麦類,228,百万円
45,1989000000,1989年,平成元年,26000,京都府,雑穀・豆類,1348,百万円
46,1989000000,1989年,平成元年,26000,京都府,いも類,820,百万円
47,1989000000,1989年,平成元年,26000,京都府,野菜,21421,百万円
48,1989000000,1989年,平成元年,26000,京都府,果実,1704,百万円
49,1989000000,1989年,平成元年,26000,京都府,花き,1408,百万円
50,1989000000,1989年,平成元年,26000,京都府,工芸農作物,3882,百万円
