時間軸コード,西暦（暦年）,和暦（暦年）,地域コード,地域,項目,数値,単位
1987000000,1987年,昭和62年,26000,京都府,農業粗生産額,79124 ,百万円
1987000000,1987年,昭和62年,26000,京都府,耕種計,62519 ,百万円
1987000000,1987年,昭和62年,26000,京都府,米,32128 ,百万円
1987000000,1987年,昭和62年,26000,京都府,麦類,293 ,百万円
1987000000,1987年,昭和62年,26000,京都府,雑穀・豆類,1418 ,百万円
1987000000,1987年,昭和62年,26000,京都府,いも類,836 ,百万円
1987000000,1987年,昭和62年,26000,京都府,野菜,18439 ,百万円
1987000000,1987年,昭和62年,26000,京都府,果実,1753 ,百万円
1987000000,1987年,昭和62年,26000,京都府,花き,1706 ,百万円
1987000000,1987年,昭和62年,26000,京都府,工芸農作物,4196 ,百万円
1987000000,1987年,昭和62年,26000,京都府,種苗･苗木その他,1750 ,百万円
1987000000,1987年,昭和62年,26000,京都府,養蚕,110 ,百万円
1987000000,1987年,昭和62年,26000,京都府,畜産計,14359 ,百万円
1987000000,1987年,昭和62年,26000,京都府,肉用牛,1771 ,百万円
1987000000,1987年,昭和62年,26000,京都府,乳用牛,5269 ,百万円
1987000000,1987年,昭和62年,26000,京都府,豚,2329 ,百万円
1987000000,1987年,昭和62年,26000,京都府,鶏,4808 ,百万円
1987000000,1987年,昭和62年,26000,京都府,その他畜産物,182 ,百万円
1987000000,1987年,昭和62年,26000,京都府,加工農産物,2136 ,百万円
1987000000,1987年,昭和62年,26000,京都府,生産農業所得,30172 ,百万円
1988000000,1988年,昭和63年,26000,京都府,農業粗生産額,80365 ,百万円
1988000000,1988年,昭和63年,26000,京都府,耕種計,63571 ,百万円
1988000000,1988年,昭和63年,26000,京都府,米,30679 ,百万円
1988000000,1988年,昭和63年,26000,京都府,麦類,275 ,百万円
1988000000,1988年,昭和63年,26000,京都府,雑穀・豆類,1257 ,百万円
1988000000,1988年,昭和63年,26000,京都府,いも類,826 ,百万円
1988000000,1988年,昭和63年,26000,京都府,野菜,20972 ,百万円
1988000000,1988年,昭和63年,26000,京都府,果実,1682 ,百万円
1988000000,1988年,昭和63年,26000,京都府,花き,2038 ,百万円
1988000000,1988年,昭和63年,26000,京都府,工芸農作物,4313 ,百万円
1988000000,1988年,昭和63年,26000,京都府,種苗･苗木その他,1568 ,百万円
1988000000,1988年,昭和63年,26000,京都府,養蚕,129 ,百万円
1988000000,1988年,昭和63年,26000,京都府,畜産計,14431 ,百万円
1988000000,1988年,昭和63年,26000,京都府,肉用牛,2025 ,百万円
1988000000,1988年,昭和63年,26000,京都府,乳用牛,5193 ,百万円
1988000000,1988年,昭和63年,26000,京都府,豚,2440 ,百万円
1988000000,1988年,昭和63年,26000,京都府,鶏,4682 ,百万円
1988000000,1988年,昭和63年,26000,京都府,その他畜産物,91 ,百万円
1988000000,1988年,昭和63年,26000,京都府,加工農産物,2219 ,百万円
1988000000,1988年,昭和63年,26000,京都府,生産農業所得,34039 ,百万円
1989000000,1989年,平成元年,26000,京都府,農業粗生産額,77339 ,百万円
1989000000,1989年,平成元年,26000,京都府,耕種計,60283 ,百万円
1989000000,1989年,平成元年,26000,京都府,米,27975 ,百万円
1989000000,1989年,平成元年,26000,京都府,麦類,228 ,百万円
1989000000,1989年,平成元年,26000,京都府,雑穀・豆類,1348 ,百万円
1989000000,1989年,平成元年,26000,京都府,いも類,820 ,百万円
1989000000,1989年,平成元年,26000,京都府,野菜,21421 ,百万円
1989000000,1989年,平成元年,26000,京都府,果実,1704 ,百万円
1989000000,1989年,平成元年,26000,京都府,花き,1408 ,百万円
1989000000,1989年,平成元年,26000,京都府,工芸農作物,3882 ,百万円
1989000000,1989年,平成元年,26000,京都府,種苗･苗木その他,1497 ,百万円
1989000000,1989年,平成元年,26000,京都府,養蚕,135 ,百万円
1989000000,1989年,平成元年,26000,京都府,畜産計,14425 ,百万円
1989000000,1989年,平成元年,26000,京都府,肉用牛,1807 ,百万円
1989000000,1989年,平成元年,26000,京都府,乳用牛,5096 ,百万円
1989000000,1989年,平成元年,26000,京都府,豚,2415 ,百万円
1989000000,1989年,平成元年,26000,京都府,鶏,4891 ,百万円
1989000000,1989年,平成元年,26000,京都府,その他畜産物,216 ,百万円
1989000000,1989年,平成元年,26000,京都府,加工農産物,2496 ,百万円
1989000000,1989年,平成元年,26000,京都府,生産農業所得,33492 ,百万円
1990000000,1990年,平成2年,26000,京都府,農業粗生産額,79175 ,百万円
1990000000,1990年,平成2年,26000,京都府,耕種計,62013 ,百万円
1990000000,1990年,平成2年,26000,京都府,米,28964 ,百万円
1990000000,1990年,平成2年,26000,京都府,麦類,179 ,百万円
1990000000,1990年,平成2年,26000,京都府,雑穀・豆類,1355 ,百万円
1990000000,1990年,平成2年,26000,京都府,いも類,822 ,百万円
1990000000,1990年,平成2年,26000,京都府,野菜,22253 ,百万円
1990000000,1990年,平成2年,26000,京都府,果実,1641 ,百万円
1990000000,1990年,平成2年,26000,京都府,花き,1325 ,百万円
1990000000,1990年,平成2年,26000,京都府,工芸農作物,3881 ,百万円
1990000000,1990年,平成2年,26000,京都府,種苗･苗木その他,1593 ,百万円
1990000000,1990年,平成2年,26000,京都府,養蚕,87 ,百万円
1990000000,1990年,平成2年,26000,京都府,畜産計,14396 ,百万円
1990000000,1990年,平成2年,26000,京都府,肉用牛,1671 ,百万円
1990000000,1990年,平成2年,26000,京都府,乳用牛,4870 ,百万円
1990000000,1990年,平成2年,26000,京都府,豚,1855 ,百万円
1990000000,1990年,平成2年,26000,京都府,鶏,5823 ,百万円
1990000000,1990年,平成2年,26000,京都府,その他畜産物,177 ,百万円
1990000000,1990年,平成2年,26000,京都府,加工農産物,2680 ,百万円
1990000000,1990年,平成2年,26000,京都府,生産農業所得,33128 ,百万円
1991000000,1991年,平成3年,26000,京都府,農業粗生産額,82406 ,百万円
1991000000,1991年,平成3年,26000,京都府,耕種計,64651 ,百万円
1991000000,1991年,平成3年,26000,京都府,米,28721 ,百万円
1991000000,1991年,平成3年,26000,京都府,麦類,157 ,百万円
1991000000,1991年,平成3年,26000,京都府,雑穀・豆類,1716 ,百万円
1991000000,1991年,平成3年,26000,京都府,いも類,836 ,百万円
1991000000,1991年,平成3年,26000,京都府,野菜,24699 ,百万円
1991000000,1991年,平成3年,26000,京都府,果実,1667 ,百万円
1991000000,1991年,平成3年,26000,京都府,花き,1681 ,百万円
1991000000,1991年,平成3年,26000,京都府,工芸農作物,3617 ,百万円
1991000000,1991年,平成3年,26000,京都府,種苗･苗木その他,1557 ,百万円
1991000000,1991年,平成3年,26000,京都府,養蚕,90 ,百万円
1991000000,1991年,平成3年,26000,京都府,畜産計,15138 ,百万円
1991000000,1991年,平成3年,26000,京都府,肉用牛,1612 ,百万円
1991000000,1991年,平成3年,26000,京都府,乳用牛,4704 ,百万円
1991000000,1991年,平成3年,26000,京都府,豚,2078 ,百万円
1991000000,1991年,平成3年,26000,京都府,鶏,6418 ,百万円
1991000000,1991年,平成3年,26000,京都府,その他畜産物,326 ,百万円
1991000000,1991年,平成3年,26000,京都府,加工農産物,2527 ,百万円
1991000000,1991年,平成3年,26000,京都府,生産農業所得,35763 ,百万円
1992000000,1992年,平成4年,26000,京都府,農業粗生産額,84076 ,百万円
1992000000,1992年,平成4年,26000,京都府,耕種計,67456 ,百万円
1992000000,1992年,平成4年,26000,京都府,米,30925 ,百万円
1992000000,1992年,平成4年,26000,京都府,麦類,174 ,百万円
1992000000,1992年,平成4年,26000,京都府,雑穀・豆類,1713 ,百万円
1992000000,1992年,平成4年,26000,京都府,いも類,970 ,百万円
1992000000,1992年,平成4年,26000,京都府,野菜,24396 ,百万円
1992000000,1992年,平成4年,26000,京都府,果実,1807 ,百万円
1992000000,1992年,平成4年,26000,京都府,花き,1642 ,百万円
1992000000,1992年,平成4年,26000,京都府,工芸農作物,4085 ,百万円
1992000000,1992年,平成4年,26000,京都府,種苗･苗木その他,1744 ,百万円
1992000000,1992年,平成4年,26000,京都府,養蚕,75 ,百万円
1992000000,1992年,平成4年,26000,京都府,畜産計,13649 ,百万円
1992000000,1992年,平成4年,26000,京都府,肉用牛,1562 ,百万円
1992000000,1992年,平成4年,26000,京都府,乳用牛,4601 ,百万円
1992000000,1992年,平成4年,26000,京都府,豚,1850 ,百万円
1992000000,1992年,平成4年,26000,京都府,鶏,5358 ,百万円
1992000000,1992年,平成4年,26000,京都府,その他畜産物,278 ,百万円
1992000000,1992年,平成4年,26000,京都府,加工農産物,2896 ,百万円
1992000000,1992年,平成4年,26000,京都府,生産農業所得,37246 ,百万円
1993000000,1993年,平成5年,26000,京都府,農業粗生産額,85814 ,百万円
